ecosystem,package,version,license
rust,signature,3.0.0-rc.6,Apache-2.0 OR MIT
rust,simd-adler32,0.3.8,MIT
rust,simdutf8,0.1.5,Apache-2.0 OR MIT
rust,simple-dns,0.9.3,MIT
rust,siphasher,0.3.11,Apache-2.0 OR MIT
rust,siphasher,1.0.2,Apache-2.0 OR MIT
rust,slab,0.4.11,MIT
rust,smallvec,1.15.1,Apache-2.0 OR MIT
rust,smawk,0.3.2,MIT
rust,smol_str,0.1.24,Apache-2.0 OR MIT
rust,smol_str,0.3.5,Apache-2.0 OR MIT
rust,snafu,0.8.9,Apache-2.0 OR MIT
rust,snafu-derive,0.8.9,Apache-2.0 OR MIT
rust,socket2,0.5.10,Apache-2.0 OR MIT
rust,socket2,0.6.1,Apache-2.0 OR MIT
rust,spez,0.1.2,BSD-2-Clause
rust,spin,0.10.0,MIT
rust,spin,0.9.8,MIT
rust,spki,0.7.3,Apache-2.0 OR MIT
rust,spki,0.8.0-rc.4,Apache-2.0 OR MIT
rust,stabby,36.2.2,Apache-2.0 OR EPL-2.0
rust,stabby-abi,36.2.2,Apache-2.0 OR EPL-2.0
rust,stabby-macros,36.2.2,Apache-2.0 OR EPL-2.0
rust,stable_deref_trait,1.2.1,Apache-2.0 OR MIT
rust,static_assertions,1.1.0,Apache-2.0 OR MIT
rust,strsim,0.11.1,MIT
rust,strum,0.26.3,MIT
rust,strum,0.27.2,MIT
rust,strum_macros,0.26.4,MIT
rust,strum_macros,0.27.2,MIT
rust,subtle,2.6.1,BSD-3-Clause
rust,swarm-discovery,0.4.1,Apache-2.0
rust,syn,1.0.109,Apache-2.0 OR MIT
rust,syn,2.0.114,Apache-2.0 OR MIT
rust,sync_wrapper,1.0.2,Apache-2.0
rust,syn-mid,0.5.4,Apache-2.0 OR MIT
rust,synstructure,0.13.2,MIT
rust,system-configuration,0.6.1,Apache-2.0 OR MIT
rust,system-configuration-sys,0.6.0,Apache-2.0 OR MIT
rust,tagptr,0.2.0,Apache-2.0 OR MIT
rust,tempfile,3.24.0,Apache-2.0 OR MIT
rust,termcolor,1.4.1,MIT OR Unlicense
rust,textwrap,0.16.2,MIT
rust,thiserror,1.0.69,Apache-2.0 OR MIT
rust,thiserror,2.0.17,Apache-2.0 OR MIT
rust,thiserror-impl,1.0.69,Apache-2.0 OR MIT
rust,thiserror-impl,2.0.17,Apache-2.0 OR MIT
rust,thread_local,1.1.9,Apache-2.0 OR MIT
rust,time,0.3.44,Apache-2.0 OR MIT
rust,time-core,0.1.6,Apache-2.0 OR MIT
rust,time-macros,0.2.24,Apache-2.0 OR MIT
rust,tinystr,0.8.2,Unicode-3.0
rust,tinytemplate,1.2.1,Apache-2.0 OR MIT
rust,tinyvec,1.10.0,Apache-2.0 OR MIT OR Zlib
rust,tinyvec_macros,0.1.1,Apache-2.0 OR MIT OR Zlib
rust,tokio,1.49.0,MIT
rust,tokio-macros,2.6.0,MIT
rust,tokio-native-tls,0.3.1,MIT
rust,tokio-rustls,0.26.4,Apache-2.0 OR MIT
rust,tokio-stream,0.1.18,MIT
rust,tokio-test,0.4.5,MIT
rust,tokio-util,0.7.18,MIT
rust,tokio-websockets,0.12.3,MIT
rust,to_method,1.1.0,CC0-1.0
rust,toml,0.5.11,Apache-2.0 OR MIT
rust,toml,0.8.23,Apache-2.0 OR MIT
rust,toml,0.9.11+spec-1.1.0,Apache-2.0 OR MIT
rust,toml_datetime,0.6.11,Apache-2.0 OR MIT
rust,toml_datetime,0.7.5+spec-1.1.0,Apache-2.0 OR MIT
rust,toml_edit,0.22.27,Apache-2.0 OR MIT
rust,toml_edit,0.23.10+spec-1.0.0,Apache-2.0 OR MIT
rust,toml_parser,1.0.6+spec-1.1.0,Apache-2.0 OR MIT
rust,toml_write,0.1.2,Apache-2.0 OR MIT
rust,toml_writer,1.0.6+spec-1.1.0,Apache-2.0 OR MIT
rust,tonic-build,0.12.3,MIT
rust,tower,0.4.13,MIT
rust,tower,0.5.2,MIT
rust,tower-http,0.5.2,MIT
rust,tower-http,0.6.8,MIT
rust,tower-layer,0.3.3,MIT
rust,tower-service,0.3.3,MIT
rust,tracing,0.1.44,MIT
rust,tracing-attributes,0.1.31,MIT
rust,tracing-core,0.1.36,MIT
rust,tracing-error,0.2.1,MIT
rust,tracing-log,0.2.0,MIT
rust,tracing-subscriber,0.3.22,MIT
rust,try-lock,0.2.5,MIT
rust,typenum,1.19.0,Apache-2.0 OR MIT
rust,unarray,0.1.4,Apache-2.0 OR MIT
rust,unicase,2.9.0,Apache-2.0 OR MIT
rust,unicode-ident,1.0.22,(Apache-2.0 OR MIT) AND Unicode-3.0
rust,unicode-segmentation,1.12.0,Apache-2.0 OR MIT
rust,unicode-truncate,1.1.0,Apache-2.0 OR MIT
rust,unicode-width,0.1.14,Apache-2.0 OR MIT
rust,unicode-xid,0.2.6,Apache-2.0 OR MIT
rust,uniffi,0.28.3,MPL-2.0
rust,uniffi,0.31.0,MPL-2.0
rust,uniffi_bindgen,0.28.3,MPL-2.0
rust,uniffi_bindgen,0.31.0,MPL-2.0
rust,uniffi_build,0.28.3,MPL-2.0
rust,uniffi_build,0.31.0,MPL-2.0
rust,uniffi_checksum_derive,0.28.3,MPL-2.0
rust,uniffi_core,0.28.3,MPL-2.0
rust,uniffi_core,0.31.0,MPL-2.0
rust,uniffi_internal_macros,0.31.0,MPL-2.0
rust,uniffi_macros,0.28.3,MPL-2.0
rust,uniffi_macros,0.31.0,MPL-2.0
rust,uniffi_meta,0.28.3,MPL-2.0
rust,uniffi_meta,0.31.0,MPL-2.0
rust,uniffi_pipeline,0.31.0,MPL-2.0
rust,uniffi_testing,0.28.3,MPL-2.0
rust,uniffi_udl,0.28.3,MPL-2.0
rust,uniffi_udl,0.31.0,MPL-2.0
rust,uninit,0.5.1,Apache-2.0 OR MIT OR Zlib
rust,universal-hash,0.5.1,Apache-2.0 OR MIT
rust,universal-hash,0.6.0-rc.2,Apache-2.0 OR MIT
rust,untrusted,0.9.0,ISC
rust,unwind_safe,0.1.0,Apache-2.0 OR MIT OR Zlib
rust,url,2.5.8,Apache-2.0 OR MIT
rust,utf8_iter,1.0.4,Apache-2.0 OR MIT
rust,utf8parse,0.2.2,Apache-2.0 OR MIT
rust,uuid,1.19.0,Apache-2.0 OR MIT
rust,valuable,0.1.1,MIT
rust,vcpkg,0.2.15,Apache-2.0 OR MIT
rust,version_check,0.9.5,Apache-2.0 OR MIT
rust,wait-timeout,0.2.1,Apache-2.0 OR MIT
rust,walkdir,2.5.0,MIT OR Unlicense
rust,want,0.3.1,MIT
rust,wasi,0.11.1+wasi-snapshot-preview1,Apache-2.0 OR Apache-2.0 WITH LLVM-exception OR MIT
rust,wasip2,1.0.1+wasi-0.2.4,Apache-2.0 OR Apache-2.0 WITH LLVM-exception OR MIT
rust,wasm-bindgen,0.2.106,Apache-2.0 OR MIT
rust,wasm-bindgen-futures,0.4.56,Apache-2.0 OR MIT
rust,wasm-bindgen-macro,0.2.106,Apache-2.0 OR MIT
rust,wasm-bindgen-macro-support,0.2.106,Apache-2.0 OR MIT
rust,wasm-bindgen-shared,0.2.106,Apache-2.0 OR MIT
rust,wasm-streams,0.4.2,Apache-2.0 OR MIT
rust,webpki-root-certs,0.26.11,CDLA-Permissive-2.0
rust,webpki-root-certs,1.0.5,CDLA-Permissive-2.0
rust,webpki-roots,1.0.5,CDLA-Permissive-2.0
rust,web-sys,0.3.83,Apache-2.0 OR MIT
rust,web-time,1.1.0,Apache-2.0 OR MIT
rust,weedle2,5.0.0,MIT
rust,widestring,1.2.1,Apache-2.0 OR MIT
rust,winapi,0.3.9,Apache-2.0 OR MIT
rust,winapi-i686-pc-windows-gnu,0.4.0,Apache-2.0 OR MIT
rust,winapi-util,0.1.11,MIT OR Unlicense
rust,winapi-x86_64-pc-windows-gnu,0.4.0,Apache-2.0 OR MIT
rust,windows,0.58.0,Apache-2.0 OR MIT
rust,windows,0.62.2,Apache-2.0 OR MIT
rust,windows_aarch64_gnullvm,0.42.2,Apache-2.0 OR MIT
rust,windows_aarch64_gnullvm,0.48.5,Apache-2.0 OR MIT
rust,windows_aarch64_gnullvm,0.52.6,Apache-2.0 OR MIT
rust,windows_aarch64_gnullvm,0.53.1,Apache-2.0 OR MIT
rust,windows_aarch64_msvc,0.42.2,Apache-2.0 OR MIT
rust,windows_aarch64_msvc,0.48.5,Apache-2.0 OR MIT
rust,windows_aarch64_msvc,0.52.6,Apache-2.0 OR MIT
rust,windows_aarch64_msvc,0.53.1,Apache-2.0 OR MIT
rust,windows-collections,0.3.2,Apache-2.0 OR MIT
rust,windows-core,0.58.0,Apache-2.0 OR MIT
rust,windows-core,0.62.2,Apache-2.0 OR MIT
rust,windows-future,0.3.2,Apache-2.0 OR MIT
rust,windows_i686_gnu,0.42.2,Apache-2.0 OR MIT
rust,windows_i686_gnu,0.48.5,Apache-2.0 OR MIT
rust,windows_i686_gnu,0.52.6,Apache-2.0 OR MIT
rust,windows_i686_gnu,0.53.1,Apache-2.0 OR MIT
rust,windows_i686_gnullvm,0.52.6,Apache-2.0 OR MIT
rust,windows_i686_gnullvm,0.53.1,Apache-2.0 OR MIT
rust,windows_i686_msvc,0.42.2,Apache-2.0 OR MIT
rust,windows_i686_msvc,0.48.5,Apache-2.0 OR MIT
rust,windows_i686_msvc,0.52.6,Apache-2.0 OR MIT
rust,windows_i686_msvc,0.53.1,Apache-2.0 OR MIT
rust,windows-implement,0.58.0,Apache-2.0 OR MIT
rust,windows-implement,0.60.2,Apache-2.0 OR MIT
rust,windows-interface,0.58.0,Apache-2.0 OR MIT
rust,windows-interface,0.59.3,Apache-2.0 OR MIT
rust,windows-link,0.2.1,Apache-2.0 OR MIT
rust,windows-numerics,0.3.1,Apache-2.0 OR MIT
rust,windows-registry,0.6.1,Apache-2.0 OR MIT
rust,windows-result,0.2.0,Apache-2.0 OR MIT
rust,windows-result,0.4.1,Apache-2.0 OR MIT
rust,windows-strings,0.1.0,Apache-2.0 OR MIT
rust,windows-strings,0.5.1,Apache-2.0 OR MIT
rust,windows-sys,0.45.0,Apache-2.0 OR MIT
rust,windows-sys,0.48.0,Apache-2.0 OR MIT
rust,windows-sys,0.52.0,Apache-2.0 OR MIT
rust,windows-sys,0.59.0,Apache-2.0 OR MIT
rust,windows-sys,0.60.2,Apache-2.0 OR MIT
rust,windows-sys,0.61.2,Apache-2.0 OR MIT
rust,windows-targets,0.42.2,Apache-2.0 OR MIT
rust,windows-targets,0.48.5,Apache-2.0 OR MIT
rust,windows-targets,0.52.6,Apache-2.0 OR MIT
rust,windows-targets,0.53.5,Apache-2.0 OR MIT
rust,windows-threading,0.2.1,Apache-2.0 OR MIT
rust,windows_x86_64_gnu,0.42.2,Apache-2.0 OR MIT
rust,windows_x86_64_gnu,0.48.5,Apache-2.0 OR MIT
rust,windows_x86_64_gnu,0.52.6,Apache-2.0 OR MIT
rust,windows_x86_64_gnu,0.53.1,Apache-2.0 OR MIT
rust,windows_x86_64_gnullvm,0.42.2,Apache-2.0 OR MIT
rust,windows_x86_64_gnullvm,0.48.5,Apache-2.0 OR MIT
rust,windows_x86_64_gnullvm,0.52.6,Apache-2.0 OR MIT
rust,windows_x86_64_gnullvm,0.53.1,Apache-2.0 OR MIT
rust,windows_x86_64_msvc,0.42.2,Apache-2.0 OR MIT
rust,windows_x86_64_msvc,0.48.5,Apache-2.0 OR MIT
rust,windows_x86_64_msvc,0.52.6,Apache-2.0 OR MIT
rust,windows_x86_64_msvc,0.53.1,Apache-2.0 OR MIT
rust,winnow,0.7.14,MIT
rust,winreg,0.50.0,MIT
rust,wit-bindgen,0.46.0,Apache-2.0 OR Apache-2.0 WITH LLVM-exception OR MIT
rust,with_builtin_macros,0.0.3,Apache-2.0 OR MIT OR Zlib
rust,with_builtin_macros-proc_macros,0.0.3,Apache-2.0 OR MIT OR Zlib
rust,wmi,0.17.3,Apache-2.0 OR MIT
rust,writeable,0.6.2,Unicode-3.0
rust,ws_stream_wasm,0.7.5,Unlicense
rust,x25519-dalek,2.0.1,BSD-3-Clause
rust,x509-parser,0.18.0,Apache-2.0 OR MIT
rust,xml-rs,0.8.28,MIT
rust,xmltree,0.10.3,MIT
rust,yasna,0.5.2,Apache-2.0 OR MIT
rust,yoke,0.8.1,Unicode-3.0
rust,yoke-derive,0.8.1,Unicode-3.0
rust,z32,1.3.0,MIT
rust,zerocopy,0.8.33,Apache-2.0 OR BSD-2-Clause OR MIT
rust,zerocopy-derive,0.8.33,Apache-2.0 OR BSD-2-Clause OR MIT
rust,zerofrom,0.1.6,Unicode-3.0
rust,zerofrom-derive,0.1.6,Unicode-3.0
rust,zeroize,1.8.2,Apache-2.0 OR MIT
rust,zeroize_derive,1.4.3,Apache-2.0 OR MIT
rust,zerotrie,0.2.3,Unicode-3.0
rust,zerovec,0.11.5,Unicode-3.0
rust,zerovec-derive,0.11.2,Unicode-3.0
rust,zmij,1.0.12,MIT
nodejs,acorn,8.15.0,MIT
nodejs,acorn-jsx,5.3.2,MIT
nodejs,ajv,6.12.6,MIT
nodejs,ansi-regex,5.0.1,MIT
nodejs,ansi-styles,4.3.0,MIT
nodejs,argparse,2.0.1,Python-2.0
nodejs,array-union,2.1.0,MIT
nodejs,@babel/code-frame,7.27.1,MIT
nodejs,@babel/compat-data,7.28.5,MIT
nodejs,@babel/core,7.28.5,MIT
nodejs,@babel/generator,7.28.5,MIT
nodejs,@babel/helper-compilation-targets,7.27.2,MIT
nodejs,@babel/helper-globals,7.28.0,MIT
nodejs,@babel/helper-module-imports,7.27.1,MIT
nodejs,@babel/helper-module-transforms,7.28.3,MIT
nodejs,@babel/helper-plugin-utils,7.27.1,MIT
nodejs,@babel/helpers,7.28.4,MIT
nodejs,@babel/helper-string-parser,7.27.1,MIT
nodejs,@babel/helper-validator-identifier,7.28.5,MIT
nodejs,@babel/helper-validator-option,7.27.1,MIT
nodejs,@babel/parser,7.28.5,MIT
nodejs,@babel/plugin-transform-react-jsx-self,7.27.1,MIT
nodejs,@babel/plugin-transform-react-jsx-source,7.27.1,MIT
nodejs,@babel/runtime,7.28.4,MIT
nodejs,@babel/template,7.27.2,MIT
nodejs,@babel/traverse,7.28.5,MIT
nodejs,@babel/types,7.28.5,MIT
nodejs,balanced-match,1.0.2,MIT
nodejs,base64-js,1.5.1,MIT
nodejs,baseline-browser-mapping,2.9.4,Apache-2.0
nodejs,bidi-js,1.0.3,MIT
nodejs,brace-expansion,1.1.12,MIT
nodejs,brace-expansion,2.0.2,MIT
nodejs,braces,3.0.3,MIT
nodejs,browserslist,4.28.1,MIT
nodejs,buffer,6.0.3,MIT
nodejs,callsites,3.1.0,MIT
nodejs,camera-controls,2.10.1,MIT
nodejs,caniuse-lite,1.0.30001759,CC-BY-4.0
nodejs,chalk,4.1.2,MIT
nodejs,color-convert,2.0.1,MIT
nodejs,color-name,1.1.4,MIT
nodejs,concat-map,0.0.1,MIT
nodejs,convert-source-map,2.0.0,MIT
nodejs,cross-env,7.0.3,MIT
nodejs,cross-spawn,7.0.6,MIT
nodejs,csstype,3.2.3,MIT
nodejs,debug,4.4.3,MIT
nodejs,deep-is,0.1.4,MIT
nodejs,detect-gpu,5.0.70,MIT
nodejs,dir-glob,3.0.1,MIT
nodejs,doctrine,3.0.0,Apache-2.0
nodejs,draco3d,1.5.7,Apache-2.0
nodejs,electron-to-chromium,1.5.266,ISC
nodejs,esbuild,0.21.5,MIT
nodejs,@esbuild/linux-x64,0.21.5,MIT
nodejs,escalade,3.2.0,MIT
nodejs,escape-string-regexp,4.0.0,MIT
nodejs,eslint,8.57.1,MIT
nodejs,@eslint-community/eslint-utils,4.9.0,MIT
nodejs,@eslint-community/regexpp,4.12.2,MIT
nodejs,@eslint/eslintrc,2.1.4,MIT
nodejs,@eslint/js,8.57.1,MIT
nodejs,eslint-plugin-react-hooks,4.6.2,MIT
nodejs,eslint-plugin-react-refresh,0.4.24,MIT
nodejs,eslint-scope,7.2.2,BSD-2-Clause
nodejs,eslint-visitor-keys,3.4.3,Apache-2.0
nodejs,espree,9.6.1,BSD-2-Clause
nodejs,esquery,1.6.0,BSD-3-Clause
nodejs,esrecurse,4.3.0,BSD-2-Clause
nodejs,estraverse,5.3.0,BSD-2-Clause
nodejs,esutils,2.0.3,BSD-2-Clause
nodejs,fast-deep-equal,3.1.3,MIT
nodejs,fast-glob,3.3.3,MIT
nodejs,fast-json-stable-stringify,2.1.0,MIT
nodejs,fast-levenshtein,2.0.6,MIT
nodejs,fastq,1.19.1,ISC
nodejs,fflate,0.6.10,MIT
nodejs,file-entry-cache,6.0.1,MIT
nodejs,fill-range,7.1.1,MIT
nodejs,find-up,5.0.0,MIT
nodejs,flat-cache,3.2.0,MIT
nodejs,flatted,3.3.3,ISC
nodejs,fs.realpath,1.0.0,ISC
nodejs,gensync,1.0.0-beta.2,MIT
nodejs,glob,7.2.3,ISC
nodejs,globals,13.24.0,MIT
nodejs,globby,11.1.0,MIT
nodejs,glob-parent,5.1.2,ISC
nodejs,glob-parent,6.0.2,ISC
nodejs,glsl-noise,0.0.0,MIT
nodejs,graphemer,1.4.0,MIT
nodejs,has-flag,4.0.0,MIT
nodejs,hive-commander-ui,0.1.0,UNLICENSED
nodejs,hls.js,1.6.15,Apache-2.0
nodejs,@humanwhocodes/config-array,0.13.0,Apache-2.0
nodejs,@humanwhocodes/module-importer,1.0.1,Apache-2.0
nodejs,@humanwhocodes/object-schema,2.0.3,BSD-3-Clause
nodejs,ieee754,1.2.1,BSD-3-Clause
nodejs,ignore,5.3.2,MIT
nodejs,immediate,3.0.6,MIT
nodejs,import-fresh,3.3.1,MIT
nodejs,imurmurhash,0.1.4,MIT
nodejs,inflight,1.0.6,ISC
nodejs,inherits,2.0.4,ISC
nodejs,isexe,2.0.0,ISC
nodejs,is-extglob,2.1.1,MIT
nodejs,is-glob,4.0.3,MIT
nodejs,is-number,7.0.0,MIT
nodejs,is-path-inside,3.0.3,MIT
nodejs,is-promise,2.2.2,MIT
nodejs,its-fine,1.2.5,MIT
nodejs,@jridgewell/gen-mapping,0.3.13,MIT
nodejs,@jridgewell/remapping,2.3.5,MIT
nodejs,@jridgewell/resolve-uri,3.1.2,MIT
nodejs,@jridgewell/sourcemap-codec,1.5.5,MIT
nodejs,@jridgewell/trace-mapping,0.3.31,MIT
nodejs,jsesc,3.1.0,MIT
nodejs,json5,2.2.3,MIT
nodejs,json-buffer,3.0.1,MIT
nodejs,json-schema-traverse,0.4.1,MIT
nodejs,json-stable-stringify-without-jsonify,1.0.1,MIT
nodejs,js-tokens,4.0.0,MIT
nodejs,js-yaml,4.1.1,MIT
nodejs,keyv,4.5.4,MIT
nodejs,levn,0.4.1,MIT
nodejs,lie,3.3.0,MIT
nodejs,locate-path,6.0.0,MIT
nodejs,lodash.merge,4.6.2,MIT
nodejs,loose-envify,1.4.0,MIT
nodejs,lru-cache,5.1.1,ISC
nodejs,maath,0.10.8,MIT
nodejs,@mediapipe/tasks-vision,0.10.17,Apache-2.0
nodejs,merge2,1.4.1,MIT
nodejs,meshline,3.3.1,MIT
nodejs,meshoptimizer,0.18.1,MIT
nodejs,micromatch,4.0.8,MIT
nodejs,minimatch,3.1.2,ISC
nodejs,minimatch,9.0.3,ISC
nodejs,@monogrid/gainmap-js,3.4.0,MIT
nodejs,ms,2.1.3,MIT
nodejs,nanoid,3.3.11,MIT
nodejs,natural-compare,1.4.0,MIT
nodejs,@nodelib/fs.scandir,2.1.5,MIT
nodejs,@nodelib/fs.stat,2.0.5,MIT
nodejs,@nodelib/fs.walk,1.2.8,MIT
nodejs,node-releases,2.0.27,MIT
nodejs,object-assign,4.1.1,MIT
nodejs,once,1.4.0,ISC
nodejs,optionator,0.9.4,MIT
nodejs,parent-module,1.0.1,MIT
nodejs,path-exists,4.0.0,MIT
nodejs,path-is-absolute,1.0.1,MIT
nodejs,path-key,3.1.1,MIT
nodejs,path-type,4.0.0,MIT
nodejs,picocolors,1.1.1,ISC
nodejs,picomatch,2.3.1,MIT
nodejs,p-limit,3.1.0,MIT
nodejs,p-locate,5.0.0,MIT
nodejs,postcss,8.5.6,MIT
nodejs,potpack,1.0.2,ISC
nodejs,prelude-ls,1.2.1,MIT
nodejs,promise-worker-transferable,1.0.4,Apache-2.0
nodejs,prop-types,15.8.1,MIT
nodejs,punycode,2.3.1,MIT
nodejs,queue-microtask,1.2.3,MIT
nodejs,react,18.3.1,MIT
nodejs,react-composer,5.0.3,MIT
nodejs,react-dom,18.3.1,MIT
nodejs,react-is,16.13.1,MIT
nodejs,react-reconciler,0.27.0,MIT
nodejs,react-refresh,0.17.0,MIT
nodejs,@react-spring/animated,9.7.5,MIT
nodejs,@react-spring/core,9.7.5,MIT
nodejs,@react-spring/rafz,9.7.5,MIT
nodejs,@react-spring/shared,9.7.5,MIT
nodejs,@react-spring/three,9.7.5,MIT
nodejs,@react-spring/types,9.7.5,MIT
nodejs,@react-three/drei,9.122.0,MIT
nodejs,@react-three/fiber,8.18.0,MIT
nodejs,react-use-measure,2.1.7,MIT
nodejs,require-from-string,2.0.2,MIT
nodejs,resolve-from,4.0.0,MIT
nodejs,reusify,1.1.0,MIT
nodejs,rimraf,3.0.2,ISC
nodejs,@rolldown/pluginutils,1.0.0-beta.27,MIT
nodejs,rollup,4.53.3,MIT
nodejs,@rollup/rollup-linux-x64-gnu,4.53.3,MIT
nodejs,@rollup/rollup-linux-x64-musl,4.53.3,MIT
nodejs,run-parallel,1.2.0,MIT
nodejs,scheduler,0.21.0,MIT
nodejs,scheduler,0.23.2,MIT
nodejs,semver,6.3.1,ISC
nodejs,semver,7.7.3,ISC
nodejs,shebang-command,2.0.0,MIT
nodejs,shebang-regex,3.0.0,MIT
nodejs,slash,3.0.0,MIT
nodejs,source-map-js,1.2.1,BSD-3-Clause
nodejs,stats-gl,2.4.2,MIT
nodejs,stats.js,0.17.0,MIT
nodejs,strip-ansi,6.0.1,MIT
nodejs,strip-json-comments,3.1.1,MIT
nodejs,supports-color,7.2.0,MIT
nodejs,suspend-react,0.1.3,MIT
nodejs,text-table,0.2.0,MIT
nodejs,three,0.158.0,MIT
nodejs,three,0.170.0,MIT
nodejs,three-mesh-bvh,0.7.8,MIT
nodejs,three-stdlib,2.36.1,MIT
nodejs,to-regex-range,5.0.1,MIT
nodejs,troika-three-text,0.52.4,MIT
nodejs,troika-three-utils,0.52.4,MIT
nodejs,troika-worker-utils,0.52.0,MIT
nodejs,ts-api-utils,1.4.3,MIT
nodejs,tunnel-rat,0.1.2,MIT
nodejs,type-check,0.4.0,MIT
nodejs,type-fest,0.20.2,(MIT OR CC0-1.0)
nodejs,@types/babel__core,7.20.5,MIT
nodejs,@types/babel__generator,7.27.0,MIT
nodejs,@types/babel__template,7.4.4,MIT
nodejs,@types/babel__traverse,7.28.0,MIT
nodejs,typescript,5.9.3,Apache-2.0
nodejs,@typescript-eslint/eslint-plugin,6.21.0,MIT
nodejs,@typescript-eslint/parser,6.21.0,BSD-2-Clause
nodejs,@typescript-eslint/scope-manager,6.21.0,MIT
nodejs,@typescript-eslint/types,6.21.0,MIT
nodejs,@typescript-eslint/typescript-estree,6.21.0,BSD-2-Clause
nodejs,@typescript-eslint/type-utils,6.21.0,MIT
nodejs,@typescript-eslint/utils,6.21.0,MIT
nodejs,@typescript-eslint/visitor-keys,6.21.0,MIT
nodejs,@types/draco3d,1.4.10,MIT
nodejs,@types/estree,1.0.8,MIT
nodejs,@types/json-schema,7.0.15,MIT
nodejs,@types/offscreencanvas,2019.7.3,MIT
nodejs,@types/prop-types,15.7.15,MIT
nodejs,@types/react,18.3.27,MIT
nodejs,@types/react-dom,18.3.7,MIT
nodejs,@types/react-reconciler,0.26.7,MIT
nodejs,@types/react-reconciler,0.28.9,MIT
nodejs,@types/semver,7.7.1,MIT
nodejs,@types/stats.js,0.17.4,MIT
nodejs,@types/three,0.158.3,MIT
nodejs,@types/webxr,0.5.24,MIT
nodejs,@ungap/structured-clone,1.3.0,ISC
nodejs,update-browserslist-db,1.2.2,MIT
nodejs,uri-js,4.4.1,BSD-2-Clause
nodejs,@use-gesture/core,10.3.1,MIT
nodejs,@use-gesture/react,10.3.1,MIT
nodejs,use-sync-external-store,1.6.0,MIT
nodejs,utility-types,3.11.0,MIT
nodejs,vite,5.4.21,MIT
nodejs,@vitejs/plugin-react,4.7.0,MIT
nodejs,webgl-constants,1.1.1,MIT*
nodejs,webgl-sdf-generator,1.1.1,MIT
nodejs,which,2.0.2,ISC
nodejs,word-wrap,1.2.5,MIT
nodejs,wrappy,1.0.2,ISC
nodejs,yallist,3.1.1,ISC
nodejs,yocto-queue,0.1.0,MIT
nodejs,zustand,3.7.2,MIT
nodejs,zustand,4.5.7,MIT
nodejs,zustand,5.0.9,MIT
gradle,androidx.activity:activity-compose:1.8.1,,Apache-2.0
gradle,androidx.activity:activity-ktx:1.8.2,,Apache-2.0
gradle,androidx.appcompat:appcompat:1.6.1,,Apache-2.0
gradle,androidx.compose:compose-bom:2023.10.01,,Apache-2.0
gradle,androidx.compose.material3:material3,,Apache-2.0
gradle,androidx.compose.ui:ui,,Apache-2.0
gradle,androidx.compose.ui:ui-graphics,,Apache-2.0
gradle,androidx.compose.ui:ui-tooling-preview,,Apache-2.0
gradle,androidx.constraintlayout:constraintlayout:2.1.4,,Apache-2.0
gradle,androidx.core:core-ktx:1.12.0,,Apache-2.0
gradle,androidx.fragment:fragment-ktx:1.6.2,,Apache-2.0
gradle,androidx.lifecycle:lifecycle-runtime-ktx:2.6.2,,Apache-2.0
gradle,androidx.lifecycle:lifecycle-viewmodel-compose:2.6.2,,Apache-2.0
gradle,androidx.lifecycle:lifecycle-viewmodel-ktx:2.6.2,,Apache-2.0
gradle,androidx.recyclerview:recyclerview:1.3.2,,Apache-2.0
gradle,androidx.test.espresso:espresso-core:3.5.1,,Apache-2.0
gradle,androidx.test.ext:junit:1.1.5,,Apache-2.0
gradle,com.android.tools.build:gradle:8.13.0,,Apache-2.0
gradle,com.dittofederal:atak-compose:0.0.4,,Proprietary
gradle,com.google.android.material:material:1.11.0,,Apache-2.0
gradle,com.defenseunicorns:hive:0.0.10,,Proprietary
gradle,junit:junit:4.13.2,,EPL-1.0
gradle,net.java.dev.jna:jna:5.14.0,,Apache-2.0/LGPL-2.1
gradle,org.jetbrains.kotlin:compose-compiler-gradle-plugin:2.1.10,,Apache-2.0
gradle,org.jetbrains.kotlin:kotlin-gradle-plugin:2.1.10,,Apache-2.0
gradle,org.jetbrains.kotlin:kotlin-stdlib:1.9.20,,Apache-2.0
gradle,org.jetbrains.kotlinx:kotlinx-coroutines-android:1.7.3,,Apache-2.0
gradle,org.jetbrains.kotlinx:kotlinx-serialization-json:1.6.0,,Apache-2.0
